tensor_id,recording_id,split,fault_family,severity,health_label
nln_emp_motor_2_100_bearing_bpfi_1_current_w0.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w1.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w2.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w3.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w4.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w5.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w6.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w7.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w8.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w9.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w10.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w11.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w12.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w13.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w14.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w15.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w16.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w17.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w18.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w19.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w20.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w21.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w22.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w23.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w24.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w25.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w26.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w27.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w28.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
nln_emp_motor_2_100_bearing_bpfi_1_current_w29.pt,nln_emp_motor_2_100_bearing_bpfi_1_current,test,bearing_inner_race,2,fault
