macro_f1,balanced_acc,early_fault_recall,auroc,seed,dataset,model
0.4456762749445676,0.5,1.0,0.5489836531627577,42,nln_emp,cnn
0.445614813172192,0.4998756218905472,0.9997512437810944,0.5443915625951874,123,nln_emp,cnn
0.4456762749445676,0.5,1.0,0.5694734236978374,999,nln_emp,cnn
0.4456762749445676,0.5,1.0,0.5256649152198192,7,nln_emp,cnn
0.4451841988459831,0.4990049751243781,0.9980099502487564,0.5182504568991776,88,nln_emp,cnn
0.4456762749445676,0.5,1.0,0.4721757285003554,42,nln_emp,lstm
0.4456762749445676,0.5,1.0,0.462989897451518,123,nln_emp,lstm
0.4456762749445676,0.5,1.0,0.4938010204081632,999,nln_emp,lstm
0.4456762749445676,0.5,1.0,0.4617977713473448,7,nln_emp,lstm
0.44567627494456763,0.5,1.0,0.44498147020002027,88,nln_emp,lstm
